player_mid,player_name,position_id,team_name,fixture_year,total_carry_metres_post_contact,total_ballinplay_minutes,total_att_minutes,total_def_minutes,total_kick_errors,total_ruck_arrivals_attack_first2,total_ruck_arrivals_defence_first2,total_minutes_played,total_tries,total_linebreaks,total_supported_breaks,total_defenders_beaten,total_jackals_success,total_intercepts,total_tackles_made,total_tackles_missed,total_offloads,total_carries,total_carry_metres,total_carries_dominant,total_turnovers_conceded,total_penalties_conceded,total_rucks_won,total_rucks_lost
0ab185b2-e3f6-4d19-8569-ecb97a14afdd,Cameron Suafoa,4,Blues,2024,15,39,22,17,0,0,0,80,0,0,0,2,0,0,9,1,1,10,13,4,0,1,8,1
0ab185b2-e3f6-4d19-8569-ecb97a14afdd,Cameron Suafoa,8,Blues,2024,6,8,4,3,0,0,0,19,0,0,0,0,0,0,1,0,0,4,16,1,0,0,4,0
0ab185b2-e3f6-4d19-8569-ecb97a14afdd,Cameron Suafoa,5,Blues,2024,2,8,3,5,0,1,0,16,0,0,0,0,0,0,5,0,0,1,5,1,0,1,1,0
c96f2ed3-1839-4c75-8027-4f97f1ac0ca0,Carlo Tizzano,7,Western Force,2024,146,449,204,246,0,12,6,1055,5,1,2,10,9,0,263,29,1,66,169,18,6,15,55,4
60a9d2fe-4935-420e-a4db-28e0e6b3e682,Carter Gordon,10,Melbourne Rebels,2024,189,404,200,205,4,0,0,941,4,3,0,27,0,1,107,27,12,81,399,18,18,3,26,5
9e915047-6e7b-49df-b228-766b96ea3656,Charlie Cale,8,ACT Brumbies,2024,157,248,121,124,0,0,0,570,5,7,2,7,2,0,98,4,7,61,295,26,10,4,41,1
276e62e5-af74-4c83-a574-c9f09a29443d,Charlie Gamble,7,NSW Waratahs,2024,111,394,199,197,0,28,14,942,2,0,3,7,6,0,161,10,6,77,216,29,10,9,60,2
276e62e5-af74-4c83-a574-c9f09a29443d,Charlie Gamble,6,NSW Waratahs,2024,12,7,4,3,0,0,0,16,0,0,0,0,0,0,4,0,0,4,8,0,0,0,3,0
74aaffad-e44f-4fe5-9fdb-08d95303e801,Charlie Hancock,1,Western Force,2024,0,19,6,12,0,0,0,51,0,0,0,0,0,0,9,1,0,0,0,0,0,2,0,0
c5fd8ea6-341c-427e-96af-69e4ad9bec7a,Chase Tiatia,11,Western Force,2024,215,358,161,199,1,0,0,856,6,14,5,14,0,2,60,33,10,71,569,38,21,5,32,4
212ca011-9830-4272-9d07-a84f0778db0d,Chay Fihaki,15,Crusaders,2024,147,272,129,144,3,0,0,607,3,2,2,12,1,0,27,9,3,55,358,18,8,0,37,2
212ca011-9830-4272-9d07-a84f0778db0d,Chay Fihaki,14,Crusaders,2024,105,170,92,78,0,4,5,372,1,4,2,9,1,0,33,6,4,32,200,7,1,1,23,0
e8e31e37-f720-4eb8-a278-b134ac9bb7b5,Christian Leali'ifano,12,Moana Pasifika,2024,3,15,8,8,1,0,0,33,0,0,0,0,0,0,1,2,0,2,10,1,1,0,1,0
